0.080837+0.56817i,-0.077421+0.14163i
0.075078+0.56539i,-0.11885+0.10986i
0.070879+0.56338i,-0.14922+0.072998i
0.068212+0.56216i,-0.17157+0.035845i
0.067064+0.56173i,-0.19004+0.0018702i
0.06743+0.56209i,-0.20907-0.026094i
0.069315+0.56325i,-0.23264-0.044891i
0.072737+0.56519i,-0.26339-0.050106i
0.077724+0.56791i,-0.30122-0.035538i
0.084314+0.5714i,-0.34133+0.0063439i
0.092557+0.57563i,-0.37214+0.082151i
0.10251+0.58058i,-0.37426+0.19291i
0.11426+0.58623i,-0.3229+0.32727i
0.12788+0.59253i,-0.19619+0.45516i
0.14347+0.59946i,0.0097307+0.52705i
0.16116+0.60698i,0.26313+0.4861i
0.18106+0.61503i,0.4881+0.2965i
0.20333+0.62356i,0.58074-0.019218i
0.22814+0.63253i,0.45903-0.35758i
0.25568+0.64186i,0.13097-0.55811i
0.28617+0.65149i,-0.26565-0.48804i
0.31985+0.66136i,-0.50785-0.15228i
0.35701+0.67139i,-0.42695+0.25842i
0.39797+0.68151i,-0.061783+0.46156i
0.4431+0.69164i,0.31804+0.29639i
0.49284+0.7017i,0.39798-0.10661i
0.54766+0.7116i,0.1001-0.39054i
0.60813+0.72127i,-0.30383-0.2778i
0.67485+0.73063i,-0.41282+0.14424i
0.7485+0.73959i,-0.086147+0.4686i
0.82975+0.74807i,0.38964+0.3513i
0.91915+0.756i,0.56066-0.14077i
1.017+0.76331i,0.24166-0.58694i
1.1228+0.76992i,-0.32509-0.61353i
1.235+0.77579i,-0.72816-0.20915i
1.3495+0.78084i,-0.7514+0.34052i
1.4595+0.78504i,-0.4816+0.75342i
1.5547+0.78835i,-0.14455+0.94724i
1.6232+0.79073i,0.082577+1.0009i
